id,category,sub_category,question_type,prompt
1,Fraud & Security,explanation,explanation,What escalation path is required for: debit card decline despite sufficient balance
2,Fees & Disclosures,explanation,explanation,Outline internal workflow for: business account opening documentation
3,Fraud & Security,explanation,explanation,How do I troubleshoot internally: ATM cash withdrawal dispute
4,Escalation & CRM Notes,crm,crm,What escalation path is required for: customer's account locked due to security flag
5,Fees & Disclosures,crm,crm,Explain policy requirements for: incorrect fee charged on account
6,Policy Lookup,scenario,scenario,What CRM notes apply when: Reg E dispute for unauthorized Zelle transaction
7,Online & Mobile Banking,scenario,scenario,Provide internal script for: debit card decline despite sufficient balance
8,Fees & Disclosures,scenario,scenario,What systems should I check for: fraudulent phishing email reported by customer
9,Online & Mobile Banking,template,template,What CRM notes apply when: business account opening documentation
10,Online & Mobile Banking,policy,policy,What systems should I check for: recurring transfer not executing
11,Online & Mobile Banking,scenario,scenario,What CRM notes apply when: online banking enrollment failure
12,Payments & Transfers,how-to,how-to,Explain policy requirements for: customer's account locked due to security flag
13,Disputes (Reg E),scenario,scenario,Describe internal steps for handling: bill pay payment missing
14,Policy Lookup,escalation,escalation,Describe internal steps for handling: multiple failed login attempts lockout
15,Disputes (Reg E),explanation,explanation,What systems should I check for: address mismatch during KYC verification
16,Policy Lookup,escalation,escalation,Outline internal workflow for: incorrect fee charged on account
17,Escalation & CRM Notes,explanation,explanation,What systems should I check for: wire transfer stuck in pending state
18,Escalation & CRM Notes,scenario,scenario,Provide internal script for: bill pay payment missing
19,KYC & Account Opening,explanation,explanation,How do I troubleshoot internally: multiple failed login attempts lockout
20,Payments & Transfers,guidance,guidance,Provide internal script for: incorrect fee charged on account
21,Fees & Disclosures,how-to,how-to,What systems should I check for: business account opening documentation
22,Fraud & Security,crm,crm,Provide internal script for: misapplied loan payment
23,Disputes (Reg E),policy,policy,Provide internal script for: incorrect fee charged on account
24,Deposits & Funds Availability,escalation,escalation,Explain policy requirements for: address mismatch during KYC verification
25,Online & Mobile Banking,template,template,What CRM notes apply when: extended hold placed incorrectly
26,Online & Mobile Banking,how-to,how-to,What escalation path is required for: recurring transfer not executing
27,Debit Cards,explanation,explanation,How do I troubleshoot internally: bill pay payment missing
28,Escalation & CRM Notes,explanation,explanation,Outline internal workflow for: misapplied loan payment
29,Escalation & CRM Notes,explanation,explanation,Provide internal script for: bill pay payment missing
30,KYC & Account Opening,crm,crm,What CRM notes apply when: customer's account locked due to security flag
31,Disputes (Reg E),crm,crm,What escalation path is required for: large check deposit pending beyond expected time
32,Escalation & CRM Notes,explanation,explanation,Explain policy requirements for: ATM cash withdrawal dispute
33,Fees & Disclosures,escalation,escalation,Explain policy requirements for: incorrect fee charged on account
34,Fees & Disclosures,escalation,escalation,What systems should I check for: ACH return for insufficient funds
35,Online & Mobile Banking,explanation,explanation,Describe internal steps for handling: fraudulent phishing email reported by customer
36,Fees & Disclosures,policy,policy,Explain policy requirements for: suspected account takeover indicators
37,KYC & Account Opening,how-to,how-to,What systems should I check for: incorrect fee charged on account
38,Fraud & Security,scenario,scenario,What CRM notes apply when: business account opening documentation
39,Online & Mobile Banking,scenario,scenario,What CRM notes apply when: customer's account locked due to security flag
40,Disputes (Reg E),how-to,how-to,What CRM notes apply when: travel notice not appearing on debit card
41,Fees & Disclosures,guidance,guidance,Outline internal workflow for: suspected account takeover indicators
42,Payments & Transfers,crm,crm,How do I troubleshoot internally: fraudulent phishing email reported by customer
43,Fees & Disclosures,guidance,guidance,Describe internal steps for handling: address mismatch during KYC verification
44,Fees & Disclosures,how-to,how-to,What CRM notes apply when: ACH return for insufficient funds
45,Debit Cards,crm,crm,What escalation path is required for: mobile app crash after login
46,Debit Cards,crm,crm,What CRM notes apply when: Reg E dispute for unauthorized Zelle transaction
47,Fraud & Security,guidance,guidance,Outline internal workflow for: customer's account locked due to security flag
48,Online & Mobile Banking,how-to,how-to,What CRM notes apply when: Reg E dispute for unauthorized Zelle transaction
49,Policy Lookup,how-to,how-to,Explain policy requirements for: misapplied loan payment
50,Payments & Transfers,template,template,What escalation path is required for: incorrect fee charged on account
51,Escalation & CRM Notes,how-to,how-to,What escalation path is required for: ACH return for insufficient funds
52,Deposits & Funds Availability,template,template,Outline internal workflow for: online banking enrollment failure
53,Escalation & CRM Notes,escalation,escalation,Outline internal workflow for: address mismatch during KYC verification
54,Debit Cards,explanation,explanation,What CRM notes apply when: mobile app crash after login
55,Deposits & Funds Availability,crm,crm,How do I troubleshoot internally: fraudulent phishing email reported by customer
56,Debit Cards,escalation,escalation,How do I troubleshoot internally: multiple failed login attempts lockout
57,Fraud & Security,scenario,scenario,Outline internal workflow for: debit card decline despite sufficient balance
58,Escalation & CRM Notes,guidance,guidance,Describe internal steps for handling: online banking enrollment failure
59,Online & Mobile Banking,policy,policy,What escalation path is required for: misapplied loan payment
60,Policy Lookup,crm,crm,What CRM notes apply when: business account opening documentation
61,Deposits & Funds Availability,scenario,scenario,What escalation path is required for: incorrect fee charged on account
62,Policy Lookup,template,template,Explain policy requirements for: fraudulent phishing email reported by customer
63,Debit Cards,crm,crm,Provide internal script for: debit card decline despite sufficient balance
64,Online & Mobile Banking,explanation,explanation,Explain policy requirements for: incorrect fee charged on account
65,Online & Mobile Banking,explanation,explanation,What escalation path is required for: travel notice not appearing on debit card
66,KYC & Account Opening,how-to,how-to,Explain policy requirements for: wire transfer stuck in pending state
67,Payments & Transfers,escalation,escalation,Provide internal script for: mobile app crash after login
68,Online & Mobile Banking,crm,crm,Provide internal script for: misapplied loan payment
69,Online & Mobile Banking,explanation,explanation,Outline internal workflow for: business account opening documentation
70,Escalation & CRM Notes,escalation,escalation,Describe internal steps for handling: multiple failed login attempts lockout
71,Debit Cards,escalation,escalation,What systems should I check for: misapplied loan payment
72,Policy Lookup,policy,policy,Outline internal workflow for: wire transfer stuck in pending state
73,Escalation & CRM Notes,policy,policy,What systems should I check for: debit card decline despite sufficient balance
74,Online & Mobile Banking,crm,crm,Explain policy requirements for: incorrect fee charged on account
